NORAD_CAT_ID,OBJECT_NUMBER,OBJECT_NAME,INTLDES,OBJECT_ID,RCS,RCS_SIZE,COUNTRY,MSG_EPOCH,DECAY_EPOCH,SOURCE,MSG_TYPE,PRECEDENCE
60078,60078,STARLINK-32110,2024-113V,2024-113V,0,LARGE,US,7/13/2024 18:42,7/12/2024 0:00,satcat,Historical,1
60078,60078,STARLINK-32110,2024-113V,2024-113V,0,LARGE,US,7/12/2024 6:46,7/12/2024 0:00,decay_msg,Historical,2
60218,60218,RESURS P1 DEB,2013-030G,2013-030G,0,SMALL,CIS,7/17/2024 17:45,7/12/2024 0:00,satcat,Historical,1
60218,60218,RESURS P1 DEB,2013-030G,2013-030G,0,SMALL,CIS,7/17/2024 2:02,7/12/2024 0:00,decay_msg,Historical,2
60224,60224,RESURS P1 DEB,2013-030N,2013-030N,0,SMALL,CIS,7/17/2024 17:45,7/12/2024 0:00,satcat,Historical,1
60224,60224,RESURS P1 DEB,2013-030N,2013-030N,0,SMALL,CIS,7/17/2024 2:02,7/12/2024 0:00,decay_msg,Historical,2
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/9/2024 4:01,7/11/2024 1:54,TIP_msg,Prediction,3
60078,60078,STARLINK-32110,2024-113V,2024-113V,0,LARGE,US,7/8/2024 18:31,7/11/2024 16:22,TIP_msg,Prediction,3
60078,60078,STARLINK-32110,2024-113V,2024-113V,0,LARGE,US,7/7/2024 16:33,7/11/2024 11:18,TIP_msg,Prediction,3
14807,14807,SL-8 DEB *,1979-089D,1979-089D,0,SMALL,CIS,6/26/2024 5:47,7/11/2024 0:00,60day_msg,Prediction,4
23260,23260,CZ-4 DEB,1990-081CR,1990-081CR,0,SMALL,PRC,6/6/2024 6:29,7/11/2024 0:00,60day_msg,Prediction,4
26178,26178,CZ-4 DEB,1999-057BQ,1999-057BQ,0,SMALL,PRC,7/4/2024 4:07,7/11/2024 0:00,60day_msg,Prediction,4
31434,31434,FENGYUN 1C DEB,1999-025BTW,1999-025BTW,0,SMALL,PRC,6/19/2024 1:55,7/11/2024 0:00,60day_msg,Prediction,4
37855,37855,M-CUBED/EXP-1 PRIME,2011-061F,2011-061F,0,SMALL,US,5/22/2024 1:29,7/11/2024 0:00,60day_msg,Prediction,4
39369,39369,DANDE DEB (LAB),2013-055AC,2013-055AC,0,MEDIUM,US,7/10/2024 23:09,7/11/2024 0:00,60day_msg,Prediction,4
