OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-2547,2021-036L,2025-07-20T20:43:29.786880,15.06407459,.0001606,53.0543,42.5933,91.3592,268.7581,0,U,48286,999,23336,-.15643E-4,-.515E-5,0
STARLINK-2566,2021-036M,2025-07-20T20:00:59.260608,15.06404692,.0001542,53.0545,42.4572,89.8670,270.2496,0,U,48287,999,23336,.55618E-4,.547E-5,0
STARLINK-2562,2021-036N,2025-07-21T14:00:01.000224,15.53181329,.0001377,53.0556,35.2289,100.8164,204.0246,0,U,48288,999,23411,.20052E-1,.1406301E-1,0
STARLINK-2545,2021-036P,2025-07-21T06:59:09.459744,15.06394635,.0001341,53.0544,40.4065,92.0108,268.1034,0,U,48289,999,23401,.4117E-4,.332E-5,0
STARLINK-2540,2021-036Q,2025-07-20T19:45:04.696128,15.06395316,.0001397,53.0550,42.5080,85.2566,274.8583,0,U,48290,999,23336,.11816E-3,.1479E-4,0
STARLINK-2555,2021-036R,2025-07-21T06:48:30.453120,15.06428403,.0001028,53.0584,40.4369,89.8386,270.2720,0,U,48291,999,23401,.48133E-3,.6901E-4,0
STARLINK-2542,2021-036S,2025-07-20T19:55:42.512160,15.06404384,.0001379,53.0553,42.6398,90.8062,269.3085,0,U,48292,999,23336,.10346E-3,.126E-4,0
STARLINK-2550,2021-036T,2025-07-20T21:04:41.376288,15.06398409,.0001277,53.0561,42.2590,97.0489,263.0645,0,U,48293,999,23337,.52514E-4,.501E-5,0
STARLINK-2533,2021-036U,2025-07-21T06:32:37.392000,15.06388683,.0001817,53.0578,40.4867,88.4699,271.6498,0,U,48294,999,23401,-.24084E-4,-.64E-5,0
STARLINK-2535,2021-036V,2025-07-21T06:27:19.056384,15.06409006,.0001467,53.0555,40.5046,97.4859,262.6296,0,U,48295,999,23401,-.21839E-3,-.3534E-4,0
STARLINK-2559,2021-036Y,2025-07-21T06:11:22.133184,15.06399639,.0001637,53.0534,40.5540,88.0486,272.0691,0,U,48298,999,23401,-.5646E-4,-.1122E-4,0
STARLINK-2557,2021-036Z,2025-07-20T23:43:55.204896,15.06406566,.0001482,53.0547,41.7616,97.2540,262.8618,0,U,48299,999,23397,-.97697E-4,-.1737E-4,0
STARLINK-2538,2021-036AA,2025-07-21T07:29:40.665408,15.06396137,.0001283,53.0553,50.3111,89.6504,270.4632,0,U,48300,999,23388,.39479E-4,.307E-5,0
STARLINK-2537,2021-036AB,2025-07-20T21:51:07.662240,15.06402345,.0001421,53.0546,52.1191,87.6466,272.4685,0,U,48301,999,23323,.12828E-3,.163E-4,0
STARLINK-2530,2021-036AD,2025-07-21T06:52:37.056864,15.06395570,.0001263,53.0554,50.9697,89.3938,270.7196,0,U,48303,999,23387,.78898E-4,.894E-5,0
STARLINK-2524,2021-036AE,2025-07-21T07:08:27.075840,15.06390686,.0001426,53.0568,50.3757,86.4466,273.6686,0,U,48304,999,23388,.7475E-4,.832E-5,0
STARLINK-2519,2021-036AF,2025-07-21T06:47:19.550688,15.06394953,.0001541,53.0558,51.0211,85.9324,274.1841,0,U,48305,999,23387,.77251E-4,.869E-5,0
STARLINK-2523,2021-036AG,2025-07-20T21:24:35.997120,15.06391757,.0001387,53.0556,52.2001,91.4796,268.6351,0,U,48306,999,23323,.10362E-3,.1262E-4,0
STARLINK-2517,2021-036AK,2025-07-20T21:08:40.760448,15.06402917,.0001332,53.0532,52.2480,93.8059,266.3082,0,U,48309,999,23323,-.1822E-4,-.553E-5,0
STARLINK-2536,2021-036AL,2025-07-21T06:36:36.329472,15.06392666,.0001745,53.0570,50.4785,94.5455,265.5733,0,U,48310,999,23388,.62936E-4,.656E-5,0
STARLINK-2534,2021-036AM,2025-07-20T20:58:03.556992,15.06390614,.0001597,53.0524,52.2815,88.0200,272.0972,0,U,48311,999,23323,-.7598E-4,-.1413E-4,0
STARLINK-2061,2021-036AN,2025-07-21T06:25:59.202912,15.06396496,.0001407,53.0556,50.5102,91.5741,268.5409,0,U,48312,999,23393,.35824E-4,.252E-5,0
STARLINK-2549,2021-036AQ,2025-07-20T20:42:07.720704,15.06401641,.0001533,53.0546,52.3291,90.3460,269.7704,0,U,48314,999,23322,.67159E-4,.719E-5,0
STARLINK-2506,2021-036AR,2025-07-20T20:36:49.339296,15.06403905,.0001731,53.0515,52.3494,84.8108,275.3078,0,U,48315,999,23322,.90947E-4,.1073E-4,0
STARLINK-2507,2021-036AS,2025-07-20T20:31:30.715104,15.06397608,.0001429,53.0561,52.3640,92.5018,267.6135,0,U,48316,999,23322,.6995E-4,.761E-5,0
STARLINK-2513,2021-036AT,2025-07-20T23:37:17.101344,15.06406663,.0001821,53.0552,51.7878,109.3695,250.7491,0,U,48317,999,23389,.17944E-3,.2393E-4,0
STARLINK-2509,2021-036AU,2025-07-21T07:23:02.785632,15.06395997,.0001366,53.0533,60.3292,85.3571,274.7574,0,U,48318,999,23379,.10055E-3,.1216E-4,0
STARLINK-2512,2021-036AV,2025-07-21T07:16:22.637856,15.06399738,.000129,53.0551,60.3427,88.5148,271.5989,0,U,48319,999,23379,.12468E-3,.1576E-4,0
STARLINK-2029,2021-036AW,2025-07-21T07:12:25.665984,15.06395028,.00012,53.0540,60.3631,90.7346,269.3781,0,U,48320,999,23379,.94879E-4,.1132E-4,0
STARLINK-2457,2021-036AX,2025-07-21T00:44:57.211872,15.06398918,.0001617,53.0578,61.5753,91.7590,268.3584,0,U,48321,999,23370,.11061E-3,.1366E-4,0
STARLINK-2515,2021-036AZ,2025-07-20T21:23:15.253728,15.06415786,.0001402,53.0545,62.2032,91.5620,268.5529,0,U,48323,999,23309,.6489E-4,.686E-5,0
STARLINK-2495,2021-036BB,2025-07-21T00:23:42.764352,15.06421143,.0001602,53.0556,61.6414,101.9859,258.1310,0,U,48325,999,23370,-.18727E-3,-.3071E-4,0
STARLINK-2498,2021-036BC,2025-07-21T08:16:07.558752,15.06394225,.0001625,53.0557,60.1700,84.2198,275.8976,0,U,48326,999,23375,.72028E-5,-.174E-5,0
STARLINK-2502,2021-036BD,2025-07-21T08:10:48.959616,15.06395400,.0001715,53.0562,60.1876,81.5679,278.5504,0,U,48327,999,23375,.59216E-4,.6E-5,0
STARLINK-2504,2021-036BE,2025-07-21T08:05:30.638688,15.06389128,.0001436,53.0562,60.2022,92.4598,267.6556,0,U,48328,999,23375,.31548E-4,.188E-5,0
STARLINK-2510,2021-036BF,2025-07-20T22:26:56.700672,15.06380462,.0001313,53.0552,62.0054,96.9226,263.1913,0,U,48329,999,23310,.12694E-3,.1609E-4,0
STARLINK-2501,2021-036BG,2025-07-20T22:21:39.386304,15.06390102,.0001294,53.0553,62.0184,92.3537,267.7600,0,U,48330,999,23310,.13709E-3,.1761E-4,0
STARLINK-2514,2021-036BH,2025-07-20T23:51:53.328672,15.06389174,.0001311,53.0556,61.7423,92.0993,268.0146,0,U,48331,999,23370,.15102E-3,.1968E-4,0
STARLINK-2511,2021-036BJ,2025-07-20T22:14:58.945632,15.06391902,.0001315,53.0557,62.0450,92.4729,267.6410,0,U,48332,999,23310,.13611E-3,.1746E-4,0
STARLINK-2518,2021-036BK,2025-07-20T22:05:43.623456,15.06402270,.0001503,53.0553,62.0694,90.1609,269.9552,0,U,48333,999,23310,.12828E-3,.163E-4,0
STARLINK-2470,2021-036BL,2025-07-20T22:00:25.152192,15.06394960,.0001329,53.0568,62.0858,100.0868,260.0271,0,U,48334,999,23310,.13137E-3,.1676E-4,0
STARLINK-2613,2021-038A,2025-07-21T07:36:19.342656,15.06386813,.0001219,53.0554,320.2900,86.6297,273.4831,0,U,48353,999,23274,.46819E-4,.416E-5,0
STARLINK-2674,2021-038B,2025-07-20T17:11:08.495520,15.06413378,.0001533,53.0551,322.9858,86.4699,273.6465,0,U,48354,999,23206,-.61459E-4,-.1197E-4,0
STARLINK-2635,2021-038C,2025-07-21T07:25:42.652416,15.06387462,.0001352,53.0561,320.3235,88.1908,271.9236,0,U,48355,999,23274,.77567E-4,.874E-5,0
STARLINK-2637,2021-038D,2025-07-21T10:31:28.366464,15.06383677,.0001291,53.0563,319.7465,90.5540,269.5597,0,U,48356,999,23276,.43308E-4,.363E-5,0
STARLINK-2636,2021-038E,2025-07-21T08:13:32.311776,15.06389054,.0001592,53.0503,320.5978,85.1202,274.9968,0,U,48357,999,23274,.15421E-4,-.52E-6,0
STARLINK-2624,2021-038F,2025-07-21T11:56:24.024192,15.06383970,.000124,53.0564,319.4818,92.7954,267.3177,0,U,48358,999,23276,.19971E-4,.16E-6,0
STARLINK-2628,2021-038G,2025-07-21T00:42:17.619840,15.06423236,.0001224,53.0563,321.5839,99.6604,260.4524,0,U,48359,999,23334,-.28314E-3,-.4499E-4,0
STARLINK-2622,2021-038H,2025-07-21T08:34:41.927808,15.06390984,.0001446,53.0548,320.1130,88.0970,272.0185,0,U,48360,999,23274,.23288E-4,.65E-6,0
STARLINK-2591,2021-038J,2025-07-20T14:58:26.470272,15.06416840,.00012,53.0559,323.4065,89.6528,270.4598,0,U,48361,999,23263,-.17852E-3,-.2941E-4,0
STARLINK-2578,2021-038K,2025-07-21T01:19:28.808256,15.06397108,.0001281,53.0581,321.5531,81.1447,278.9687,0,U,48362,999,23270,.7511E-4,.837E-5,0
STARLINK-2626,2021-038L,2025-07-20T15:13:02.811648,15.41097118,.0002482,53.0608,283.0301,11.1736,348.9323,0,U,48363,999,23262,.82679E-3,.3448E-3,0
STARLINK-2611,2021-038M,2025-07-21T00:13:48.991584,15.06388276,.0001329,53.0558,316.8389,87.9571,272.1570,0,U,48364,999,23276,.36336E-4,.26E-5,0
