NORAD_CAT_ID,DECAY_EPOCH,TLE_DOWNLOAD_URL
47369,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47369/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
47439,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47439/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
47439,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47439/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
47961,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47961/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
48901,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/48901/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
49789,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/49789/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
49789,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/49789/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
50967,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/50967/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
50967,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/50967/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
52067,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/52067/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
51842,2024-07-28 09:57:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/51842/EPOCH/>2024-05-29/EPOCH/<2024-07-28/orderby/EPOCH%20desc/format/csv
51842,2024-07-28 09:51:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/51842/EPOCH/>2024-05-29/EPOCH/<2024-07-28/orderby/EPOCH%20desc/format/csv
51842,2024-07-28 09:36:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/51842/EPOCH/>2024-05-29/EPOCH/<2024-07-28/orderby/EPOCH%20desc/format/csv
51842,2024-07-28 09:07:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/51842/EPOCH/>2024-05-29/EPOCH/<2024-07-28/orderby/EPOCH%20desc/format/csv
45698,2024-07-28 03:05:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/45698/EPOCH/>2024-05-29/EPOCH/<2024-07-28/orderby/EPOCH%20desc/format/csv
